strategy,auc,ap,gap_vs_exact,elapsed_s,rebuild_count,rebuild_time_s,probe_count,probe_time_s,overhead_pct
sequential_exact,0.8709,0.8729,0.0000,17.24,0,0.00,0,0.00,0.0
drift_l2_tau0.2_B500,0.8181,0.8318,0.0529,12.31,94,0.21,99,0.26,3.8
periodic_500_B500,0.8180,0.8319,0.0530,13.07,99,0.22,0,0.00,1.7
drift_l2_tau0.02_B500,0.8180,0.8319,0.0530,12.59,99,0.22,99,0.30,4.2
drift_l2_tau0.05_B500,0.8180,0.8319,0.0530,12.42,99,0.22,99,0.28,4.0
drift_l2_tau0.1_B500,0.8180,0.8319,0.0530,12.54,99,0.22,99,0.27,4.0
periodic_1000_B500,0.8176,0.8307,0.0533,12.39,49,0.11,0,0.00,0.9
periodic_2000_B500,0.8170,0.8294,0.0539,12.22,24,0.05,0,0.00,0.4
periodic_5000_B500,0.8167,0.8279,0.0542,12.12,9,0.02,0,0.00,0.2
drift_acc_tau0.01_B500,0.8162,0.8254,0.0548,15.07,3,0.01,99,2.88,19.2
no_rebuild_B500,0.8150,0.8217,0.0560,4.94,0,0.00,0,0.00,0.0
drift_acc_tau0.02_B500,0.8150,0.8217,0.0560,14.71,0,0.00,99,2.80,19.0
drift_acc_tau0.05_B500,0.8150,0.8217,0.0560,14.90,0,0.00,99,2.83,19.0
drift_l2_partial_tau0.02_B500,0.7827,0.7964,0.0882,81.84,99,69.79,99,69.86,170.6
drift_l2_partial_tau0.05_B500,0.7827,0.7964,0.0882,82.23,99,70.02,99,70.08,170.4
drift_l2_partial_tau0.1_B500,0.7827,0.7964,0.0882,82.06,99,69.81,99,69.87,170.2
