strategy,auc,ap,gap,elapsed_s,rebuild_count,rebuild_time_s,overhead_pct
small_batch_B20,0.9786,0.9845,0.0000,57.08,0,0.00,0.0
periodic_12000_B600,0.9714,0.9792,0.0072,8.28,4,5.87,70.9
auc_monitor_full_drop0.005_B600,0.9713,0.9790,0.0073,19.96,16,17.36,86.9
auc_monitor_full_drop0.02_B600,0.9712,0.9791,0.0074,10.79,6,8.27,76.7
auc_monitor_full_drop0.05_B600,0.9712,0.9791,0.0074,2.81,0,0.00,0.0
periodic_6000_B600,0.9711,0.9789,0.0075,12.96,8,10.61,81.9
periodic_3000_B600,0.9711,0.9789,0.0075,22.07,16,19.83,89.8
periodic_60000_B600,0.9710,0.9788,0.0076,2.44,0,0.00,0.0
no_rebuild_B600,0.9710,0.9788,0.0076,2.44,0,0.00,0.0
periodic_30000_B600,0.9710,0.9788,0.0076,3.78,1,1.42,37.6
auc_monitor_full_drop0.01_B600,0.9708,0.9785,0.0077,15.48,11,12.84,82.9
auc_monitor_full_drop0.03_B600,0.9708,0.9784,0.0078,2.69,0,0.00,0.0
auc_monitor_partial_drop0.02_B600,0.9703,0.9781,0.0083,5.89,6,3.03,51.5
auc_monitor_partial_drop0.01_B600,0.9701,0.9780,0.0085,8.15,12,5.33,65.3
auc_monitor_partial_drop0.005_B600,0.9700,0.9780,0.0086,9.84,16,6.96,70.7
