strategy,batch_size,throughput,speedup,auc,auc_diff,avg_colors,avg_max_group
sequential,1,2544,1.00,0.9438,0.0000,,
batched_strict,10,24077,9.46,0.9523,0.0084,,
batched_relaxed,10,6733,2.65,0.9438,-0.0000,3.299336247369273,5.6982353893475794
batched_strict,50,115491,45.39,0.9581,0.0143,,
batched_relaxed,50,10790,4.24,0.9440,0.0002,9.52346278317152,17.097087378640776
batched_strict,100,229581,90.23,0.9581,0.0143,,
batched_relaxed,100,12884,5.06,0.9450,0.0012,15.166666666666666,26.68284789644013
batched_strict,500,1096926,431.11,0.9649,0.0211,,
batched_relaxed,500,18008,7.08,0.9451,0.0012,46.79032258064516,57.42741935483871
batched_strict,1000,2090898,821.76,0.9628,0.0190,,
batched_relaxed,1000,19541,7.68,0.9449,0.0010,82.3225806451613,71.04838709677419
batched_strict,5000,6604249,2595.59,0.9645,0.0206,,
batched_relaxed,5000,18788,7.38,0.9470,0.0031,373.15384615384613,85.07692307692308
