window,seq_auc,relaxed_auc,diff
0,0.9480,0.9538,0.0058
1,0.9588,0.9607,0.0019
2,0.9325,0.9344,0.0019
3,0.9596,0.9564,-0.0032
4,0.9395,0.9488,0.0093
5,0.9636,0.9654,0.0018
6,0.9244,0.9333,0.0089
7,0.9428,0.9596,0.0168
8,0.9447,0.9434,-0.0013
9,0.9816,0.9666,-0.0150
10,0.9415,0.9478,0.0063
11,0.9533,0.9528,-0.0005
12,0.9014,0.9423,0.0409
13,0.9386,0.9407,0.0021
14,0.9594,0.9594,-0.0000
15,0.9619,0.9621,0.0002
16,0.9557,0.9471,-0.0086
17,0.9450,0.9506,0.0056
18,0.9388,0.9483,0.0095
19,0.9325,0.9494,0.0169
20,0.9310,0.9432,0.0122
21,0.9470,0.9404,-0.0066
22,0.9676,0.9518,-0.0158
23,0.9199,0.9230,0.0031
24,0.9490,0.9290,-0.0201
25,0.9413,0.9591,0.0178
26,0.9279,0.9295,0.0016
27,0.9442,0.9525,0.0083
28,0.9484,0.9759,0.0275
29,0.9552,0.9740,0.0188
30,0.9633,0.9486,-0.0148
31,0.9550,0.9441,-0.0109
32,0.9510,0.9535,0.0025
33,0.9391,0.9420,0.0029
34,0.9497,0.9498,0.0001
35,0.9695,0.9663,-0.0032
36,0.9627,0.9574,-0.0053
37,0.9326,0.9448,0.0122
38,0.9520,0.9474,-0.0046
39,0.9734,0.9785,0.0051
40,0.9537,0.9500,-0.0037
41,0.9624,0.9423,-0.0201
42,0.9818,0.9742,-0.0076
43,0.9556,0.9644,0.0088
44,0.9267,0.9350,0.0083
45,0.9591,0.9603,0.0012
46,0.9661,0.9577,-0.0084
47,0.9736,0.9654,-0.0082
48,0.9743,0.9787,0.0044
49,0.9605,0.9629,0.0024
50,0.9682,0.9737,0.0055
51,0.9518,0.9479,-0.0039
52,0.9716,0.9839,0.0123
53,0.9279,0.9455,0.0176
54,0.9314,0.9548,0.0234
55,0.9373,0.9510,0.0137
56,0.9494,0.9614,0.0120
57,0.9687,0.9664,-0.0023
58,0.9647,0.9357,-0.0290
59,0.9539,0.9630,0.0091
60,0.9786,0.9686,-0.0100
61,0.9454,0.9507,0.0053
62,0.9675,0.9590,-0.0085
63,0.9298,0.9610,0.0312
64,0.9511,0.9375,-0.0136
65,0.9480,0.9603,0.0123
66,0.9618,0.9818,0.0200
67,0.9720,0.9658,-0.0062
68,0.9705,0.9665,-0.0040
69,0.9521,0.9359,-0.0162
70,0.9553,0.9442,-0.0111
71,0.9606,0.9687,0.0081
72,0.9520,0.9390,-0.0130
73,0.9573,0.9438,-0.0135
74,0.9303,0.9570,0.0267
75,0.9151,0.9209,0.0058
76,0.9528,0.9602,0.0074
77,0.9270,0.9108,-0.0162
78,0.9646,0.9669,0.0023
79,0.9305,0.9385,0.0080
80,0.9138,0.9391,0.0253
81,0.9288,0.9373,0.0085
82,0.9780,0.9778,-0.0002
83,0.9675,0.9597,-0.0078
84,0.9666,0.9705,0.0039
85,0.9600,0.9697,0.0097
86,0.9674,0.9458,-0.0216
