strategy,batch_size,throughput,speedup,auc,auc_diff,avg_colors,avg_max_group
sequential,1,2872,1.00,0.8854,0.0000,,
batched_strict,10,25425,8.85,0.8838,-0.0016,,
batched_relaxed,10,15743,5.48,0.8854,-0.0000,1.1722333333333332,9.817266666666667
batched_strict,50,122576,42.68,0.8777,-0.0077,,
batched_relaxed,50,26453,9.21,0.8854,0.0000,2.509916666666667,45.50725
batched_strict,100,242910,84.59,0.8711,-0.0143,,
batched_relaxed,100,30354,10.57,0.8854,0.0000,3.6831666666666667,84.282
batched_strict,500,1163978,405.32,0.8411,-0.0443,,
batched_relaxed,500,38547,13.42,0.8858,0.0004,9.160833333333333,315.0375
batched_strict,1000,2187017,761.57,0.8243,-0.0611,,
batched_relaxed,1000,41716,14.53,0.8863,0.0009,13.431666666666667,544.7583333333333
batched_strict,5000,7692200,2678.60,0.7872,-0.0981,,
batched_relaxed,5000,45155,15.72,0.8879,0.0025,37.375,1967.4416666666666
