window,seq_auc,relaxed_auc,diff
0,0.6104,0.6432,0.0328
1,0.6858,0.7246,0.0388
2,0.7044,0.7498,0.0454
3,0.6610,0.7590,0.0980
4,0.6600,0.7076,0.0476
5,0.7460,0.7484,0.0024
6,0.7518,0.7798,0.0280
7,0.6272,0.6920,0.0648
8,0.7136,0.7840,0.0704
9,0.8064,0.8372,0.0308
10,0.7168,0.7542,0.0374
11,0.8186,0.8354,0.0168
12,0.8590,0.8828,0.0238
13,0.7502,0.8242,0.0740
14,0.7640,0.8006,0.0366
15,0.6882,0.7276,0.0394
16,0.7188,0.7270,0.0082
17,0.7894,0.8074,0.0180
18,0.7746,0.7930,0.0184
19,0.8692,0.8932,0.0240
20,0.7674,0.7910,0.0236
21,0.7994,0.8058,0.0064
22,0.7456,0.7702,0.0246
23,0.8518,0.8662,0.0144
24,0.7934,0.8546,0.0612
25,0.8444,0.8686,0.0242
26,0.8348,0.8436,0.0088
27,0.7912,0.8106,0.0194
28,0.7978,0.8380,0.0402
29,0.8090,0.7974,-0.0116
30,0.8070,0.8322,0.0252
31,0.7398,0.7834,0.0436
32,0.8156,0.8278,0.0122
33,0.8206,0.8544,0.0338
34,0.7318,0.7704,0.0386
35,0.7608,0.7762,0.0154
36,0.8318,0.8592,0.0274
37,0.8034,0.8374,0.0340
38,0.7634,0.8324,0.0690
39,0.8184,0.8440,0.0256
40,0.8710,0.8744,0.0034
41,0.7560,0.7750,0.0190
42,0.8374,0.8596,0.0222
43,0.8622,0.9080,0.0458
44,0.8422,0.8308,-0.0114
45,0.8048,0.8218,0.0170
46,0.8178,0.8764,0.0586
47,0.7572,0.8438,0.0866
48,0.8162,0.8382,0.0220
49,0.8530,0.8766,0.0236
50,0.8516,0.8818,0.0302
51,0.8436,0.8526,0.0090
52,0.7770,0.8198,0.0428
53,0.7778,0.8588,0.0810
54,0.8188,0.8098,-0.0090
55,0.8798,0.9098,0.0300
56,0.8292,0.8460,0.0168
57,0.8034,0.8264,0.0230
58,0.8058,0.7862,-0.0196
59,0.7210,0.7776,0.0566
60,0.8360,0.8738,0.0378
61,0.7958,0.8256,0.0298
62,0.8812,0.9036,0.0224
63,0.8058,0.8366,0.0308
64,0.8122,0.8242,0.0120
65,0.8224,0.8532,0.0308
66,0.8626,0.8830,0.0204
67,0.8782,0.8968,0.0186
68,0.8616,0.8950,0.0334
69,0.8302,0.8690,0.0388
70,0.8708,0.9016,0.0308
71,0.8080,0.8076,-0.0004
72,0.8730,0.8880,0.0150
73,0.8446,0.8386,-0.0060
74,0.9144,0.9268,0.0124
75,0.8246,0.8550,0.0304
76,0.8210,0.8776,0.0566
77,0.7942,0.8212,0.0270
78,0.7998,0.8244,0.0246
79,0.8848,0.9068,0.0220
80,0.8004,0.8004,-0.0000
81,0.8136,0.8122,-0.0014
82,0.7960,0.8186,0.0226
83,0.8508,0.8726,0.0218
84,0.8090,0.8568,0.0478
85,0.8726,0.8492,-0.0234
86,0.8350,0.8408,0.0058
87,0.8108,0.8408,0.0300
88,0.8492,0.8944,0.0452
89,0.8852,0.9252,0.0400
90,0.7994,0.8104,0.0110
91,0.8560,0.8542,-0.0018
92,0.8392,0.8680,0.0288
93,0.7682,0.7832,0.0150
94,0.7834,0.8076,0.0242
95,0.7850,0.7930,0.0080
96,0.9000,0.8980,-0.0020
97,0.9132,0.8934,-0.0198
98,0.8574,0.8574,-0.0000
99,0.7796,0.8000,0.0204
100,0.8038,0.8114,0.0076
101,0.7812,0.7828,0.0016
102,0.8216,0.8238,0.0022
103,0.7942,0.8260,0.0318
104,0.8316,0.8468,0.0152
105,0.9070,0.9094,0.0024
106,0.7650,0.7680,0.0030
107,0.8586,0.8786,0.0200
108,0.9030,0.8644,-0.0386
109,0.8952,0.9198,0.0246
110,0.9128,0.9152,0.0024
111,0.8544,0.8980,0.0436
112,0.7854,0.7980,0.0126
113,0.8304,0.8502,0.0198
114,0.8406,0.8522,0.0116
115,0.8180,0.8440,0.0260
116,0.8772,0.8748,-0.0024
117,0.8340,0.8230,-0.0110
118,0.8434,0.8842,0.0408
119,0.7632,0.7792,0.0160
120,0.8340,0.8358,0.0018
121,0.7612,0.7784,0.0172
122,0.8446,0.8580,0.0134
123,0.8630,0.9012,0.0382
124,0.8738,0.8756,0.0018
125,0.8220,0.8666,0.0446
126,0.8518,0.8648,0.0130
127,0.7440,0.7882,0.0442
128,0.7986,0.8476,0.0490
129,0.8114,0.8776,0.0662
130,0.8934,0.9102,0.0168
131,0.8278,0.8648,0.0370
132,0.9008,0.9270,0.0262
133,0.7368,0.8036,0.0668
134,0.8134,0.8116,-0.0018
135,0.9490,0.9416,-0.0074
136,0.8136,0.8238,0.0102
137,0.7992,0.8330,0.0338
138,0.8110,0.8718,0.0608
139,0.9086,0.9084,-0.0002
140,0.8170,0.8530,0.0360
141,0.7630,0.8330,0.0700
142,0.8982,0.9038,0.0056
143,0.8728,0.8746,0.0018
144,0.8816,0.9118,0.0302
145,0.8080,0.8264,0.0184
146,0.8074,0.8434,0.0360
147,0.7938,0.7746,-0.0192
148,0.8806,0.9114,0.0308
149,0.8118,0.8226,0.0108
150,0.8386,0.8512,0.0126
151,0.8244,0.8262,0.0018
152,0.8344,0.8176,-0.0168
153,0.8450,0.8166,-0.0284
154,0.8068,0.8472,0.0404
155,0.7990,0.8272,0.0282
156,0.7578,0.7908,0.0330
157,0.7400,0.7822,0.0422
158,0.8380,0.8456,0.0076
159,0.7588,0.7690,0.0102
160,0.8632,0.8854,0.0222
161,0.7422,0.7806,0.0384
162,0.7994,0.8008,0.0014
163,0.7994,0.7982,-0.0012
164,0.7758,0.8296,0.0538
165,0.8522,0.8742,0.0220
166,0.8302,0.8156,-0.0146
167,0.7646,0.7818,0.0172
168,0.7772,0.8016,0.0244
169,0.8224,0.8250,0.0026
170,0.8450,0.8334,-0.0116
171,0.7640,0.7546,-0.0094
172,0.8626,0.8852,0.0226
173,0.8082,0.8362,0.0280
174,0.8404,0.9116,0.0712
175,0.7938,0.7454,-0.0484
176,0.7786,0.8346,0.0560
177,0.7900,0.7870,-0.0030
178,0.8260,0.8318,0.0058
179,0.8454,0.8394,-0.0060
180,0.8442,0.8878,0.0436
181,0.9172,0.9046,-0.0126
182,0.8256,0.8398,0.0142
183,0.8250,0.8740,0.0490
184,0.8792,0.9016,0.0224
185,0.8500,0.8466,-0.0034
186,0.8216,0.8678,0.0462
187,0.9124,0.9202,0.0078
188,0.8646,0.8558,-0.0088
189,0.8074,0.8062,-0.0012
190,0.7918,0.8252,0.0334
191,0.8590,0.8442,-0.0148
192,0.8800,0.8812,0.0012
193,0.8316,0.8594,0.0278
194,0.8872,0.8596,-0.0276
195,0.8434,0.8422,-0.0012
196,0.8352,0.8388,0.0036
197,0.9134,0.8998,-0.0136
198,0.7926,0.7994,0.0068
199,0.8530,0.8452,-0.0078
200,0.8298,0.8290,-0.0008
201,0.8010,0.8474,0.0464
